player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
Miloš Veljković,Serbia,DF,,2,3,0,0,,0,98.0,112.0,87.5,4.0,0,7.0,127.0,0.0,0.0,
Mislav Oršić,Croatia,FW,,1,6,1,2,,2,40.0,54.0,74.1,3.0,0,1.0,81.0,0.0,0.4,
Mitchell Duke,Australia,FW,,3,4,1,0,,4,36.0,63.0,57.1,0.0,2,1.0,96.0,1.0,0.4,
Mohamed Ali Ben Romdhane,Tunisia,MF,,0,1,0,0,,0,14.0,21.0,66.7,5.0,0,0.0,31.0,5.0,0.0,
Mohamed Dräger,Tunisia,DF,,1,2,0,0,,0,36.0,50.0,72.0,5.0,1,4.0,70.0,0.0,0.2,
Mohamed Kanno,Saudi Arabia,MF,,3,3,0,0,,1,119.0,147.0,81.0,6.0,2,7.0,184.0,1.0,0.3,
Mohammed Al-Breik,Saudi Arabia,DF,,0,2,0,0,,1,39.0,48.0,81.3,1.0,1,4.0,57.0,0.0,0.4,
Mohammed Al-Owais,Saudi Arabia,GK,,3,3,0,0,,0,57.0,100.0,57.0,0.0,0,4.0,113.0,0.0,0.0,
Mohammed Muntari,Qatar,FW,,0,3,1,0,,1,17.0,19.0,89.5,2.0,0,2.0,28.0,0.0,0.2,
Mohammed Salisu,Ghana,DF,,3,3,1,0,,1,109.0,151.0,72.2,2.0,3,17.0,184.0,1.0,0.8,
Mohammed Waad,Qatar,MF,,0,2,0,0,,0,9.0,12.0,75.0,0.0,1,1.0,16.0,0.0,0.0,
Moisés Caicedo,Ecuador,MF,,3,3,1,0,,1,126.0,153.0,82.4,6.0,2,2.0,173.0,1.0,0.5,
Montassar Talbi,Tunisia,DF,,3,3,0,0,,1,118.0,137.0,86.1,2.0,2,18.0,177.0,1.0,0.0,
Morteza Pouraliganji,IR Iran,DF,,3,3,0,0,,0,92.0,128.0,71.9,2.0,6,10.0,156.0,0.0,0.1,
Moumi Ngamaleu,Cameroon,FW,,1,2,0,0,,0,21.0,25.0,84.0,3.0,0,0.0,34.0,3.0,0.0,
Munir,Morocco,GK,,1,1,0,0,,0,19.0,28.0,67.9,0.0,0,0.0,31.0,0.0,0.0,
Musab Kheder,Qatar,DF,,0,1,0,0,,0,3.0,3.0,100.0,1.0,0,0.0,5.0,0.0,0.0,
