player_id,player_name,team_id,team_name,position,age
385,Lee Kangin,126,Korea Republic,MF,
386,Leon Goretzka,117,Germany,MF,
387,Leroy Sané,117,Germany,FW,
388,Liam Millar,122,Canada,DF,
389,Lionel Messi,107,Argentina,FW,
390,Lisandro Martínez,107,Argentina,DF,
391,Lovro Majer,116,Croatia,MF,
392,Loïs Openda,121,Belgium,FW,
393,Lucas Cavallini,122,Canada,FW,
394,Lucas Hernández,113,France,DF,
395,Lucas Paquetá,129,Brazil,MF,
396,Luis Chávez,111,Mexico,MF,
397,Luis Suárez,125,Uruguay,FW,
398,Luka Jović,130,Serbia,FW,
399,Luka Modrić,116,Croatia,MF,
400,Lukas Klostermann,117,Germany,DF,
401,Luke Shaw,101,England,DF,
402,Luuk de Jong,104,Netherlands,FW,
403,Majid Hosseini,102,IR Iran,DF,
404,Manuel Akanji,123,Switzerland,DF,
405,Manuel Neuer,117,Germany,GK,
406,Marcelo Brozović,116,Croatia,MF,
407,Marco Asensio,119,Spain,FW,
408,Marcos Acuña,107,Argentina,DF,
409,Marcos Llorente,119,Spain,DF,
410,Marcus Rashford,101,England,FW,
411,Marcus Thuram,113,France,FW,
412,Mario Götze,117,Germany,MF,
413,Mario Pašalić,116,Croatia,FW,
414,Mark-Anthony Kaye,122,Canada,MF,
415,Marko Grujić,130,Serbia,MF,
416,Marko Livaja,116,Croatia,FW,
417,Marquinhos,129,Brazil,DF,
418,Marten de Roon,104,Netherlands,MF,
419,Martin Braithwaite,109,Denmark,FW,
420,Martin Hongla,124,Cameroon,MF,
421,Martinelli,129,Brazil,FW,
422,Martín Cáceres,125,Uruguay,DF,
423,Mason Mount,101,England,MF,
424,Mateo Kovačić,116,Croatia,MF,
425,Matheus Nunes,127,Portugal,MF,
426,Mathew Leckie,114,Australia,MF,
427,Mathew Ryan,114,Australia,GK,
428,Mathias Jensen,109,Denmark,MF,
429,Mathías Olivera,125,Uruguay,DF,
430,Matt Turner,105,United States,GK,
431,Matthias Ginter,117,Germany,DF,
432,Matthijs de Ligt,104,Netherlands,DF,
433,Matty Cash,112,Poland,DF,
434,Mattéo Guendouzi,113,France,FW,
435,Matías Vecino,125,Uruguay,MF,
436,Matías Viña,125,Uruguay,DF,
437,Maxi Gómez,125,Uruguay,FW,
438,Maya Yoshida,118,Japan,DF,
439,Mehdi Taremi,102,IR Iran,FW,
440,Mehdi Torabi,102,IR Iran,MF,
441,Memphis,104,Netherlands,FW,
442,Meshaal Barsham,99,Qatar,GK,
443,Michael Estrada,100,Ecuador,FW,
444,Michał Skóraś,112,Poland,MF,
445,Michel Aebischer,123,Switzerland,MF,
446,Michy Batshuayi,121,Belgium,FW,
447,Miki Yamane,118,Japan,DF,
448,Mikkel Damsgaard,109,Denmark,MF,
449,Milad Mohammadi,102,IR Iran,DF,
450,Milan Borjan,122,Canada,GK,
451,Miloš Degenek,114,Australia,DF,
452,Miloš Veljković,130,Serbia,DF,
453,Mislav Oršić,116,Croatia,FW,
454,Mitchell Duke,114,Australia,FW,
455,Mohamed Ali Ben Romdhane,110,Tunisia,MF,
456,Mohamed Dräger,110,Tunisia,DF,
457,Mohamed Kanno,108,Saudi Arabia,MF,
458,Mohammed Al-Breik,108,Saudi Arabia,DF,
459,Mohammed Al-Owais,108,Saudi Arabia,GK,
460,Mohammed Muntari,99,Qatar,FW,
461,Mohammed Salisu,128,Ghana,DF,
462,Mohammed Waad,99,Qatar,MF,
463,Moisés Caicedo,100,Ecuador,MF,
464,Montassar Talbi,110,Tunisia,DF,
465,Morteza Pouraliganji,102,IR Iran,DF,
466,Moumi Ngamaleu,124,Cameroon,FW,
467,Munir,115,Morocco,GK,
468,Musab Kheder,99,Qatar,DF,
469,Na Sang-ho,126,Korea Republic,FW,
470,Nader Ghandri,110,Tunisia,DF,
471,Nahuel Molina,107,Argentina,DF,
472,Nampalys Mendy,103,Senegal,MF,
473,Nasser Al-Dawsari,108,Saudi Arabia,FW,
474,Nathan Aké,104,Netherlands,DF,
475,Nathaniel Atkinson,114,Australia,DF,
476,Nawaf Al Abed,108,Saudi Arabia,MF,
477,Nayef Aguerd,115,Morocco,DF,
478,Naïm Sliti,110,Tunisia,MF,
479,Neco Williams,106,Wales,DF,
480,Nemanja Gudelj,130,Serbia,MF,
481,Nemanja Maksimović,130,Serbia,MF,
482,Nemanja Radonjić,130,Serbia,DF,
483,Neymar,129,Brazil,MF,
484,Niclas Füllkrug,117,Germany,FW,
485,Nico Elvedi,123,Switzerland,DF,
486,Nico Schlotterbeck,117,Germany,DF,
487,Nico Williams,119,Spain,FW,
488,Nicola Zalewski,112,Poland,MF,
489,Nicolas Jackson,103,Senegal,FW,
490,Nicolas Nkoulou,124,Cameroon,DF,
491,Nicolás De La Cruz,125,Uruguay,MF,
492,Nicolás Otamendi,107,Argentina,DF,
493,Nicolás Tagliafico,107,Argentina,DF,
494,Niklas Süle,117,Germany,DF,
495,Nikola Milenković,130,Serbia,DF,
496,Nikola Vlašić,116,Croatia,FW,
497,Noa Lang,104,Netherlands,MF,
498,Noah Okafor,123,Switzerland,FW,
499,Nouhou Tolo,124,Cameroon,DF,
500,Noussair Mazraoui,115,Morocco,DF,
501,Nuno Mendes,127,Portugal,DF,
502,Néstor Araujo,111,Mexico,DF,
503,Olivier Giroud,113,France,FW,
504,Olivier Ntcham,124,Cameroon,MF,
505,Orbelín Pineda,111,Mexico,MF,
506,Osman Bukari,128,Ghana,MF,
507,Otávio,127,Portugal,MF,
508,Ousmane Dembélé,113,France,FW,
509,Pablo Sarabia,119,Spain,FW,
510,Paik Seung-ho,126,Korea Republic,MF,
511,Pape Abou Cissé,103,Senegal,DF,
512,Pape Gueye,103,Senegal,MF,
513,Pape Matar Sarr,103,Senegal,MF,
514,Papu Gómez,107,Argentina,MF,
515,Pathé Ciss,103,Senegal,MF,
516,Pau Torres,119,Spain,DF,
517,Paulo Dybala,107,Argentina,FW,
518,Pedri,119,Spain,MF,
519,Pedro,129,Brazil,FW,
520,Pepe,127,Portugal,DF,
521,Pervis Estupiñán,100,Ecuador,DF,
522,Phil Foden,101,England,FW,
523,Piero Hincapié,100,Ecuador,DF,
524,Pierre Højbjerg,109,Denmark,MF,
525,Pierre Kunde,124,Cameroon,MF,
526,Piotr Zieliński,112,Poland,MF,
527,Przemysław Frankowski,112,Poland,MF,
528,Rafael Leão,127,Portugal,FW,
529,Raheem Sterling,101,England,FW,
530,Ramin Rezaeian,102,IR Iran,DF,
531,Randal Kolo Muani,113,France,FW,
532,Raphaël Guerreiro,127,Portugal,DF,
533,Raphaël Varane,113,France,DF,
534,Raphinha,129,Brazil,FW,
535,Rasmus Nissen,109,Denmark,DF,
536,Raúl Jiménez,111,Mexico,FW,
537,Remo Freuler,123,Switzerland,MF,
538,Renato Steffen,123,Switzerland,FW,
539,Ricardo Horta,127,Portugal,FW,
540,Ricardo Rodríguez,123,Switzerland,DF,
541,Richarlison,129,Brazil,FW,
542,Richie Laryea,122,Canada,DF,
543,Riley McGree,114,Australia,FW,
544,Ritsu Doan,118,Japan,FW,
545,Riyadh Sharahili,108,Saudi Arabia,MF,
546,Roan Wilson,120,Costa Rica,MF,
547,Robert Lewandowski,112,Poland,FW,
548,Robert Skov,109,Denmark,DF,
549,Roberto Alvarado,111,Mexico,FW,
550,Rodri,119,Spain,DF,
551,Rodrigo Bentancur,125,Uruguay,MF,
552,Rodrigo De Paul,107,Argentina,MF,
553,Rodrygo,129,Brazil,MF,
554,Rogelio Funes Mori,111,Mexico,FW,
555,Romain Saïss,115,Morocco,DF,
556,Romario Ibarra,100,Ecuador,MF,
557,Romelu Lukaku,121,Belgium,FW,
558,Roozbeh Cheshmi,102,IR Iran,DF,
559,Ruben Vargas,123,Switzerland,FW,
560,Rubin Colwill,106,Wales,MF,
561,Ró-Ró,99,Qatar,DF,
562,Rónald Matarrita,120,Costa Rica,DF,
563,Rúben Dias,127,Portugal,DF,
564,Rúben Neves,127,Portugal,MF,
565,Saad Al Sheeb,99,Qatar,GK,
566,Sadegh Moharrami,102,IR Iran,DF,
567,Saeid Ezatolahi,102,IR Iran,MF,
568,Saleh Al-Shehri,108,Saudi Arabia,FW,
569,Salem Al-Dawsari,108,Saudi Arabia,MF,
570,Salis Abdul Samed,128,Ghana,MF,
571,Salman Al-Faraj,108,Saudi Arabia,MF,
572,Sam Adekugbe,122,Canada,DF,
573,Saman Ghoddos,102,IR Iran,MF,
574,Sami Al-Najei,108,Saudi Arabia,MF,
575,Samuel Oum Gouet,124,Cameroon,MF,
576,Sardar Azmoun,102,IR Iran,FW,
577,Saud Abdulhamid,108,Saudi Arabia,DF,
578,Saša Lukić,130,Serbia,MF,
579,Sebastian Szymański,112,Poland,MF,
580,Sebastián Coates,125,Uruguay,DF,
581,Selim Amallah,115,Morocco,MF,
582,Serge Gnabry,117,Germany,FW,
583,Sergej Milinković-Savić,130,Serbia,MF,
584,Sergio Busquets,119,Spain,MF,
585,Sergio Rochet,125,Uruguay,GK,
586,Sergiño Dest,105,United States,DF,
