player_id,team_id,player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
633,130,Vanja Milinković-Savić,Serbia,GK,,3,3,0,0,,0,90.0,125.0,72.0,0.0,1,2.0,136.0,0.0,0.0,
634,109,Victor Nelsson,Denmark,DF,,1,1,0,0,,0,69.0,74.0,93.2,0.0,2,1.0,79.0,0.0,0.0,
635,124,Vincent Aboubakar,Cameroon,FW,,1,3,2,1,,3,20.0,31.0,64.5,0.0,0,4.0,50.0,0.0,0.6,
636,104,Vincent Janssen,Netherlands,FW,,1,2,0,0,,0,16.0,20.0,80.0,2.0,0,1.0,32.0,1.0,0.1,
637,129,Vinicius Júnior,Brazil,FW,,3,4,1,2,,4,68.0,90.0,75.6,3.0,0,0.0,132.0,11.0,1.0,
638,104,Virgil van Dijk,Netherlands,DF,,5,5,0,0,,0,311.0,356.0,87.4,2.0,4,21.0,399.0,0.0,0.2,
639,127,Vitinha,Portugal,MF,,1,3,0,0,,2,100.0,108.0,92.6,3.0,1,1.0,118.0,1.0,0.1,
640,110,Wahbi Khazri,Tunisia,FW,,0,2,1,0,,3,13.0,20.0,65.0,2.0,0,0.0,36.0,2.0,0.4,
641,110,Wajdi Kechrida,Tunisia,DF,,1,3,0,0,,0,44.0,69.0,63.8,3.0,0,4.0,77.0,3.0,0.0,
642,115,Walid Cheddira,Morocco,FW,,0,2,0,0,,1,4.0,8.0,50.0,1.0,0,2.0,18.0,0.0,0.5,
643,105,Walker Zimmerman,United States,DF,,3,4,0,0,,0,217.0,244.0,88.9,3.0,4,15.0,274.0,0.0,0.1,
644,118,Wataru Endo,Japan,MF,,3,4,0,0,,1,155.0,192.0,80.7,8.0,3,6.0,239.0,5.0,0.2,
645,106,Wayne Hennessey,Wales,GK,,1,2,0,0,,0,50.0,66.0,75.8,0.0,0,0.0,68.0,0.0,0.0,
646,105,Weston McKennie,United States,MF,,3,4,0,0,,1,117.0,153.0,76.5,2.0,0,5.0,177.0,3.0,0.4,
647,127,William Carvalho,Portugal,MF,,2,4,0,0,,0,156.0,170.0,91.8,6.0,0,3.0,182.0,0.0,0.1,
648,113,William Saliba,France,DF,,0,1,0,0,,0,37.0,37.0,100.0,0.0,0,0.0,38.0,0.0,0.0,
649,112,Wojciech Szczęsny,Poland,GK,,4,4,0,0,,0,84.0,142.0,59.2,0.0,0,4.0,159.0,0.0,0.0,
650,104,Wout Weghorst,Netherlands,FW,,0,4,2,0,,2,9.0,15.0,60.0,0.0,0,1.0,22.0,0.0,0.2,
651,129,Wéverton,Brazil,GK,,0,1,0,0,,0,3.0,5.0,60.0,0.0,0,0.0,5.0,0.0,0.0,
652,104,Xavi Simons,Netherlands,FW,,0,1,0,0,,0,6.0,10.0,60.0,1.0,0,0.0,11.0,0.0,0.0,
653,123,Xherdan Shaqiri,Switzerland,FW,,2,3,1,1,,2,67.0,104.0,64.4,0.0,0,0.0,111.0,5.0,0.3,
654,115,Yahya Attiat Allah,Morocco,DF,,3,6,0,1,,0,98.0,137.0,71.5,4.0,0,15.0,167.0,2.0,0.2,
655,115,Yahya Jabrane,Morocco,MF,,0,2,0,0,,0,,,,,0,,,,,
656,123,Yann Sommer,Switzerland,GK,,3,3,0,0,,0,108.0,118.0,91.5,0.0,0,0.0,126.0,0.0,0.0,
657,121,Yannick Carrasco,Belgium,FW,,1,2,0,0,,0,39.0,46.0,84.8,5.0,1,4.0,68.0,2.0,0.3,
658,108,Yasser Al-Shahrani,Saudi Arabia,DF,,1,1,0,0,,0,13.0,29.0,44.8,3.0,6,6.0,43.0,0.0,0.0,
