match_id,competition_name,season,date,time,home_team_id,away_team_id,home_goals,away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,venue,referee,goal_difference,total_goals,total_cards,home_shot_accuracy,away_shot_accuracy,result
31,Bundesliga,2022-23,2023-09-16,14:30:00,16,9,1.0,3.0,15.0,16.0,3.0,6.0,12.0,9.0,6.0,4.0,1.0,2.0,0.0,0.0,,,-2.0,4.0,3.0,20.0,37.5,A
32,Bundesliga,2022-23,2023-09-16,14:30:00,8,3,3.0,0.0,9.0,16.0,6.0,4.0,16.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,66.66666666666666,25.0,H
33,Bundesliga,2022-23,2023-09-16,14:30:00,11,15,2.0,1.0,8.0,17.0,3.0,5.0,6.0,8.0,3.0,7.0,1.0,0.0,0.0,0.0,,,1.0,3.0,1.0,37.5,29.411764705882355,H
34,Bundesliga,2022-23,2023-09-16,17:30:00,10,17,1.0,1.0,24.0,8.0,10.0,6.0,13.0,14.0,8.0,2.0,3.0,2.0,0.0,0.0,,,0.0,2.0,5.0,41.66666666666667,75.0,D
35,Bundesliga,2022-23,2023-09-17,14:30:00,12,1,4.0,2.0,19.0,11.0,4.0,4.0,21.0,9.0,10.0,1.0,1.0,1.0,0.0,0.0,,,2.0,6.0,2.0,21.052631578947366,36.36363636363637,H
36,Bundesliga,2022-23,2023-09-17,16:30:00,18,4,3.0,3.0,15.0,21.0,8.0,10.0,12.0,8.0,6.0,6.0,1.0,1.0,1.0,0.0,,,0.0,6.0,3.0,53.333333333333336,47.61904761904761,D
37,Bundesliga,2022-23,2023-09-22,19:30:00,9,18,3.0,1.0,18.0,3.0,11.0,0.0,7.0,12.0,5.0,4.0,1.0,6.0,0.0,0.0,,,2.0,4.0,7.0,61.111111111111114,0.0,H
38,Bundesliga,2022-23,2023-09-23,14:30:00,3,16,2.0,1.0,6.0,13.0,3.0,3.0,16.0,14.0,3.0,4.0,2.0,3.0,1.0,0.0,,,1.0,3.0,6.0,50.0,23.076923076923077,H
39,Bundesliga,2022-23,2023-09-23,14:30:00,2,10,7.0,0.0,26.0,4.0,16.0,1.0,8.0,10.0,8.0,1.0,0.0,1.0,0.0,0.0,,,7.0,7.0,1.0,61.53846153846154,25.0,H
40,Bundesliga,2022-23,2023-09-23,14:30:00,13,11,1.0,0.0,18.0,8.0,4.0,2.0,9.0,14.0,5.0,3.0,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,22.22222222222222,25.0,H
41,Bundesliga,2022-23,2023-09-23,14:30:00,4,8,0.0,1.0,13.0,8.0,1.0,4.0,14.0,7.0,11.0,6.0,1.0,1.0,0.0,0.0,,,-1.0,1.0,2.0,7.6923076923076925,50.0,A
42,Bundesliga,2022-23,2023-09-23,14:30:00,15,5,0.0,2.0,22.0,11.0,6.0,4.0,11.0,13.0,11.0,6.0,1.0,3.0,0.0,0.0,,,-2.0,2.0,4.0,27.27272727272727,36.36363636363637,A
43,Bundesliga,2022-23,2023-09-23,17:30:00,1,14,2.0,1.0,17.0,13.0,6.0,5.0,18.0,16.0,9.0,8.0,2.0,1.0,0.0,0.0,,,1.0,3.0,3.0,35.294117647058826,38.46153846153847,H
44,Bundesliga,2022-23,2023-09-24,14:30:00,7,12,4.0,1.0,20.0,1.0,10.0,1.0,9.0,10.0,7.0,2.0,1.0,1.0,0.0,0.0,,,3.0,5.0,2.0,50.0,100.0,H
45,Bundesliga,2022-23,2023-09-24,16:30:00,17,6,0.0,0.0,13.0,9.0,5.0,2.0,12.0,5.0,7.0,3.0,4.0,2.0,0.0,0.0,,,0.0,0.0,6.0,38.46153846153847,22.22222222222222,D
46,Bundesliga,2022-23,2023-09-29,19:30:00,5,13,1.0,3.0,15.0,6.0,5.0,5.0,14.0,16.0,4.0,3.0,3.0,4.0,0.0,1.0,,,-2.0,4.0,8.0,33.33333333333333,83.33333333333334,A
47,Bundesliga,2022-23,2023-09-30,14:30:00,10,4,1.0,3.0,23.0,25.0,5.0,9.0,12.0,12.0,5.0,10.0,2.0,3.0,0.0,0.0,,,-2.0,4.0,5.0,21.73913043478261,36.0,A
48,Bundesliga,2022-23,2023-09-30,14:30:00,14,9,0.0,2.0,14.0,18.0,5.0,4.0,16.0,8.0,8.0,4.0,2.0,1.0,0.0,0.0,,,-2.0,2.0,3.0,35.714285714285715,22.22222222222222,A
